,MB,ME,RMSE,NMB,NME,R,Om,Mm,Ostd,Mstd,aqs
o3,17.48788407452693,27.290243222998548,34.549280580285576,37.91037316335868,59.160004714903295,0.6671835306409142,46.12954876273653,61.93626717562674,35.04935025911573,38.035024422757424,Carapicuíba
co,-0.25759869768995636,0.2772636666564774,0.364117639822329,-52.66973372410714,56.690517557440465,0.07696354768893006,0.4890829694323144,0.2333383026086351,0.24040818747409726,0.11349649640586328,Carapicuíba
nox,-15.693548389361517,26.180876987542273,35.88208245805378,-38.84737919063977,64.80742472288817,0.10138303865435763,40.39795918367347,25.087780216548747,27.817663798145468,19.65343226793017,Carapicuíba
tc,2.346118012552303,2.502255560669456,3.152103195338216,12.45145461072703,13.280116929932346,0.8898484290946724,18.842119944211994,21.189189094707523,4.474581840842534,4.497980824097709,Carapicuíba
ws,0.4630888504006969,1.16381632184477,1.525229409663248,17.223503773072935,43.28541875519763,0.3918952664171576,2.6887029288702933,3.1492046272107244,1.1619662189701225,1.4419410287205818,Carapicuíba
rh,-10.326579295676439,12.450645828451881,16.250855470032615,-13.57788662412206,16.37071218022776,0.7507126287816626,76.05439330543933,65.70025091225627,17.457885424447586,18.07399123955994,Carapicuíba
co,-0.20810156002698643,0.28051788422488755,0.3824845762787437,-43.74526963063347,58.96798889946424,-0.06354919102232424,0.4757121439280359,0.27107487611699166,0.2823819127389241,0.13583636265967944,Cerqueira César
nox,-21.893866098908305,38.20911972583698,52.07420823014598,-41.579825316387456,72.56500594805662,0.04531551278616207,52.65502183406114,30.99757340115599,42.592742920898644,22.463903723970517,Cerqueira César
o3,17.174490542962957,26.43013652308642,32.64987680979866,39.89199896709442,61.39052429192057,0.672425911489224,43.05246913580247,58.529376556323115,35.14358464744468,37.60398496169106,Cid.Universitária-USP-Ipen
nox,-6.395472793770015,23.280269726200874,36.70571752405488,-17.854721266742526,64.99327577170025,0.2957748830643879,35.819505094614264,29.74449623465181,35.865671370338106,22.24901792412856,Cid.Universitária-USP-Ipen
co,-0.4795423002078104,0.49867476704184094,0.6082970559970985,-63.93302886742283,66.48378727575306,-0.02973033056648327,0.7500697350069735,0.27095614650557104,0.3456685218150654,0.13461624190607072,Congonhas
nox,-74.3669300682739,78.12589769092725,93.55928637876526,-70.49999050356347,74.06349892668875,0.04618847692579338,105.48502139800286,31.38967395536212,53.123724760824395,22.773095695002002,Congonhas
o3,39.31520719402985,39.83425625373135,44.248478442680074,176.34268666108787,178.67080629288705,0.4128318244399627,22.294776119402986,63.97238615738162,20.700057581442074,22.201333989354808,Cubatão-Centro
nox,-35.65565021790902,36.16500422967613,47.646435978833104,-74.66981161317939,75.73649719795,0.3852971464051509,47.751091703056765,12.176585002146934,33.76048453239142,7.49730689295319,Cubatão-Centro
ws,0.8132323533556487,1.1159002792691772,1.5284007126062202,69.15175490464894,94.88857924999999,0.48314206169380874,1.1760111576011159,1.994222191303621,0.92908270968713,1.4615841393627274,Cubatão-Centro
o3,47.24346927510918,47.83150792430859,52.06310060916956,232.31166983036294,235.20324918760292,0.47205610599004044,20.336244541484717,67.06710984540389,21.4174572371631,20.99688641096411,Cubatão-Vale do Mogi
nox,-107.98217325634022,107.9977285935642,126.95635237112928,-93.19706205521481,93.21048752800199,0.25006617388100305,115.86435331230284,8.035039243599723,67.9624737824493,5.29992792996296,Cubatão-Vale do Mogi
tc,-0.725726460648147,1.8196852538580246,2.3667813594757416,-3.381102226647877,8.477769789629587,0.7974788552638282,21.464197530864197,20.846908552228413,3.4328599795851678,3.63022879124579,Cubatão-Vale do Mogi
rh,-4.295545517531565,10.246958067321179,13.765574693000872,-4.958993465131718,11.829602988941241,0.4889442492843182,86.62131837307153,82.2912363454039,13.634152217370083,12.194415633074804,Cubatão-Vale do Mogi
nox,-119.53598693815599,119.53598693815597,143.23950254095976,-92.04571551676433,92.04571551676433,0.19241304643541213,129.865889212828,10.423622438290252,79.98152762833985,6.5279424048543335,Cubatão-V.Parisi
